X,Y,ID,FSGName,TonsPerWeek,TYPE1,TYPE2,TYPE3,Address,Town,County,Zip,Phone,Website,Facebook,Active
507300.393992545,106025.669804516,1,BROOKHAVEN CATERER,0.05,Food Establishment,Caterer,,1470 ROUTE 44,WINDSOR,WINDSOR,05089,,,,0
508517.18274611,110237.717444965,2,VERMONT WHOLE FOODS CATERING,0.05,Food Establishment,Caterer,,153 PEMBROKE RD,WINDSOR,WINDSOR,05089,(802) 674-5273,,,0
508517.18274611,110237.717444965,3,JUNIPER HILL INN,0.735,Food Establishment,Restaurant,,153 PEMBROKE ROAD,WINDSOR,WINDSOR,05089,,http://juniperhillinn.com/,http://www.facebook.com/juniper.hill.inn,0
509053.316935779,108527.501454073,4,WINDSOR ELKS BPO LODGE 1665,1.68,Food Establishment,Restaurant,,156 MAIN ST,WINDSOR,WINDSOR,05089,8026749966,,,0
508685.648871402,111315.589402931,5,JOHN P LARKIN COUNTRY CLUB,0.945,Food Establishment,Restaurant,,1571 ROUTE 5 NORTH,WINDSOR,WINDSOR,05089,8026746491,,,0
506317.511578666,109835.340159607,6,GREEN MOUNTAIN FLOUR,0.05,Food Establishment,Caterer,,17 MOONRISE HILL,WINDSOR,WINDSOR,05089,,,,0
509061.586702866,108394.194676814,7,Cumberland Farms,0.18,Food Establishment,Caterer,,183 MAIN ST,WINDSOR,WINDSOR,05089,5082704407,http://www.cumberlandfarms.com/,,0
508818.766279083,108471.641234636,8,THIS N THAT TRADING POST TRADING AS TLC,0.05,Food Establishment,Caterer,,19 1/2 UNION ST,WINDSOR,WINDSOR,05089,(802) 674-6776,,,0
508818.766279083,108471.641234636,9,VITTLE STOP BBQ,0.05,Food Establishment,Caterer,,19 1/2 UNION STREET,WINDSOR,WINDSOR,05089,,,,0
508527.015111957,108860.109571401,10,WINDSOR HIGH SCHOOL,0.04795,Food Establishment,School,,19 ASCUTNEY ST,WINDSOR,WINDSOR,05089,8026746344,,,0
508767.214455426,110782.421446093,11,GRANNY O COOKIES,0.13,Food Establishment,Bakery,,194 HUNTINGTON DRIVE,WINDSOR,WINDSOR,05053,,,,0
508470.217055906,108993.355878133,12,GREEN MOUNTAIN ASIAN MARKET,0.18,Food Establishment,Grocery,,2 ASCUTNEY ST,WINDSOR,WINDSOR,05089,,,,0
509050.524727174,110605.038520443,13,STUBS & LAURAS,0.26,Food Establishment,Restaurant,,2066 ROUTE 5 N,WINDSOR,WINDSOR,05089,(802) 674-5715,,,0
509050.524727174,110605.038520443,14,FRAZERS PLACE,0.42,Food Establishment,Restaurant,,2066 VT RT 5 N,WINDSOR,WINDSOR,05030,8026749859,,,0
509498.166986842,108616.992545384,15,OUR NEIGHBORHOOD KITCHEN,0.05,Food Establishment,Caterer,,27 JARVIS ST,WINDSOR,WINDSOR,05089,(802) 345-8350,,,0
509343.12492953,109572.22173125,16,PRICE CHOPPER STORE #177,0.72,Food Establishment,Grocery,,2725 US ROUTE 5 N,WINDSOR,WINDSOR,05089,8026743470,http://www.pricechopper.com/,,0
507854.568384341,109692.529487921,18,MOUNT ASCUTNEY HOSPITAL & HEALTH CTR,0.3465,Food Establishment,Hospital,,289 COUNTY RD,WINDSOR,WINDSOR,05089,8026746711,,,0
507854.568384341,109692.529487921,19,MT ASCUTNEY HOSPITAL,0.18375,Hospital,,,289 COUNTY ROAD,WINDSOR,WINDSOR,05089,(802) 674-6711,,,0
507891.496409521,112692.236866627,20,AMERICAN CRAFTED SPIRITS INCORPORATED,0.2625,Food Establishment,Restaurant,,3 ARTISANS WAY,WINDSOR,WINDSOR,05031,3392220987,,,0
508394.706829233,111159.682096481,21,BOSTON DREAMS CATERING LLC,0.05,Food Establishment,Home-based Business,,321 TAYLOR DR,WINDSOR,WINDSOR,05089,0823592619,,,0
507956.377108766,112525.664885853,22,HARPOON BREWERY,1.8375,Food Establishment,Restaurant,,336 RUTH CARNEY DR,WINDSOR,WINDSOR,05089,8026745491,,,0
509295.095627252,109205.530488783,23,NIDAS,0.05,Food Establishment,Home-based Business,,35 N MAIN ST,WINDSOR,WINDSOR,05089,8026742301,,,0
509181.992008486,109094.276988556,24,HISTORIC HOMES OF RUNNEMEDE - EVARTS HOUSE,0.0735,Nursing/Assisted Living,Residential Facility,,40 MAXWELL PERKINS LANE,WINDSOR,WINDSOR,05089,(802) 674-6733,http://www.hhronline.org/EvartsHouse.htm,,0
508996.164445921,108916.268906962,25,DAVIS HOME,0.0945,Nursing/Assisted Living,Residential Facility,,45 STATE STREET,WINDSOR,WINDSOR,05089,805-674-5300,,,0
509222.501753309,109049.892985329,26,HISTORIC HOMES OF RUNNEMEDE-STOUGHTON HOUSE,0.16275,Nursing/Assisted Living,Residential Facility,,46 MAIN STREET,WINDSOR,WINDSOR,05089,,,,0
508298.582148844,103838.201894187,27,CEDAR HILL HEALTH CARE CENTER,0.20475,Nursing/Assisted Living,Residential Facility,,49 CEDAR HILL DRIVE,WINDSOR,WINDSOR,05089,(802) 674-6609,http://www.cedarhillccc.com/,,0
508298.582148844,103838.201894187,28,VICTORIAN HOUSE RESIDENCE AT CEDAR HILL,0.07875,Nursing/Assisted Living,Residential Facility,,49 CEDAR HILL DRIVE,WINDSOR,WINDSOR,05089,,,,0
510273.219276515,120261.342385524,29,MR G'S TWIN STATE DISCOUNT,0.72,Food Establishment,Grocery,,54 US ROUTE 5,WINDSOR,WINDSOR,05089,,,,0
505952.293731448,111212.628712369,30,SOUTHEAST STATE CORRECTIONAL FACILITY,0.525,Correctional Facility,,,546 STATE FARM ROAD,WINDSOR,WINDSOR,05089,,,,0
509263.042585598,108983.289600233,31,FLEMING OIL COMPANY,0.18,Food Establishment,Grocery,,55 MAIN ST,WINDSOR,WINDSOR,05089,(802) 674-2834,,,0
509158.0247389,108872.047676997,32,BOSTON DREAMS LLC,0.105,Food Establishment,Restaurant,,7 STATE ST,WINDSOR,WINDSOR,05089,8022304107,,,0
509190.324301379,108916.53099551,33,CLARAS CAFE,0.26,Food Establishment,Restaurant,,70 MAIN ST,WINDSOR,WINDSOR,05089,(802) 674-2542,,,0
509190.324301379,108916.53099551,34,CROW BAR & GRILL,0.26,Food Establishment,Restaurant,,70 MAIN ST,WINDSOR,WINDSOR,05089,8026744310,,https://www.facebook.com/pages/category/American-Restaurant/Crow-Bar-and-Grill-1452975738364372/,0
507899.738386277,112558.927826484,35,SUSTAINABLE FARMER THE,0.525,Food Establishment,Restaurant,,71 ARTISANS WAY,WINDSOR,WINDSOR,05089,,,,0
509270.612609686,109361.034508138,36,YUMMY YUMMY CHINESE RESTAURANT,0.441,Food Establishment,Restaurant,,74 MAIN ST,WINDSOR,WINDSOR,05089,8026746888,,,0
509158.070048723,108838.718242695,37,PIZZA CHEF OF WINDSOR,0.966,Food Establishment,Restaurant,,88 MAIN ST,WINDSOR,WINDSOR,05089,8026746861,http://www.pizzachef.com/,,0
508274.157639547,103949.269306604,38,VILLAGE AT CEDAR HILL,0.1155,Nursing/Assisted Living,Residential Facility,,92 CEDAR HILL DRIVE,WINDSOR,WINDSOR,05089,(802) 674-2254,,,0
507998.776612051,104048.924887196,39,MACLENNAN FARMS,0.18,Food Establishment,Grocery,Farmers' Market,RR 5,WINDSOR,WINDSOR,05089,,,,0
495684.598334939,116021.966946265,41,SOUTH WOODSTOCK COUNTRY STORE,0.1155,Food Establishment,Restaurant,,4800 SOUTH RD,WOODSTOCK,WINDSOR,05071,8023913099,,,0
496480.765220663,123998.489639246,42,WOODSTOCK THERAPEUTIC COMMUNITY RESIDENCE,0.042,Nursing/Assisted Living,Residential Facility,,1087 WOODSTOCK ROAD,WOODSTOCK,WINDSOR,05091,(802) 457-1845,,,0
498031.233188688,126286.535033301,43,MOUNT TOM FARMERS' MARKET,0.18,Food Establishment,Grocery,Farmers' Market,1206 VERMONT 12,WOODSTOCK,WINDSOR,05091,,http://www.mttomfarmersmarket.com/,,0
498474.689456022,124775.445258539,45,RED ROOSTER,0.26,Food Establishment,Restaurant,,14 THE GREEN,WOODSTOCK,WINDSOR,05091,(802) 457-1100,http://www.woodstockinn.com/Dining,,0
498474.689456022,124775.445258539,46,WOODSTOCK INN,3.15,Food Establishment,Lodging,,14 THE GREEN,WOODSTOCK,WINDSOR,05091,8024571100,,,0
498410.090508747,124642.139200812,47,WOODSTOCK ELEMENTARY SCHOOL,0.10057,Food Establishment,School,,15 SOUTH ST,WOODSTOCK,WINDSOR,05091,8024572522,,,0
