Label,Type,Symbol,Description,Name on GPS,Comment,Latitude,Longitude,Elevation,Distance to Active Point,Bearing
,,City (Small),,,,43.4543912,-72.4097989,,0000.0000,0000.0000
,,City (Small),,,,43.4922912,-72.3946989,,0000.0000,0000.0000
,,City (Small),,,,43.4922912,-72.3946989,,0000.0000,0000.0000
,,City (Small),,,,43.4768912,-72.3880989,,0000.0000,0000.0000
,,City (Small),,,,43.5019912,-72.3925989,,0000.0000,0000.0000
,,City (Small),,,,43.4886912,-72.4218989,,0000.0000,0000.0000
,,City (Small),,,,43.4756912,-72.3879989,,0000.0000,0000.0000
,,City (Small),,,,43.4763912,-72.3909989,,0000.0000,0000.0000
,,City (Small),,,,43.4763912,-72.3909989,,0000.0000,0000.0000
,,City (Small),,,,43.4798912,-72.3945989,,0000.0000,0000.0000
,,City (Small),,,,43.4971912,-72.3915989,,0000.0000,0000.0000
,,City (Small),,,,43.4810912,-72.3952989,,0000.0000,0000.0000
,,City (Small),,,,43.4955912,-72.3880989,,0000.0000,0000.0000
,,City (Small),,,,43.4955912,-72.3880989,,0000.0000,0000.0000
,,City (Small),,,,43.4776912,-72.3825989,,0000.0000,0000.0000
,,City (Small),,,,43.4862912,-72.3844989,,0000.0000,0000.0000
,,City (Small),,,,43.4873912,-72.4028989,,0000.0000,0000.0000
,,City (Small),,,,43.4873912,-72.4028989,,0000.0000,0000.0000
,,City (Small),,,,43.5143912,-72.4023989,,0000.0000,0000.0000
,,City (Small),,,,43.5005912,-72.3961989,,0000.0000,0000.0000
,,City (Small),,,,43.5128912,-72.4015989,,0000.0000,0000.0000
,,City (Small),,,,43.4829912,-72.3850989,,0000.0000,0000.0000
,,City (Small),,,,43.4819912,-72.3864989,,0000.0000,0000.0000
,,City (Small),,,,43.4803912,-72.3887989,,0000.0000,0000.0000
,,City (Small),,,,43.4815912,-72.3859989,,0000.0000,0000.0000
,,City (Small),,,,43.4346912,-72.3974989,,0000.0000,0000.0000
,,City (Small),,,,43.4346912,-72.3974989,,0000.0000,0000.0000
,,City (Small),,,,43.5824911,-72.3727989,,0000.0000,0000.0000
,,City (Small),,,,43.5010912,-72.4263989,,0000.0000,0000.0000
,,City (Small),,,,43.4809912,-72.3854989,,0000.0000,0000.0000
,,City (Small),,,,43.4799912,-72.3867989,,0000.0000,0000.0000
,,City (Small),,,,43.4803912,-72.3863989,,0000.0000,0000.0000
,,City (Small),,,,43.4803912,-72.3863989,,0000.0000,0000.0000
,,City (Small),,,,43.5131912,-72.4022989,,0000.0000,0000.0000
,,City (Small),,,,43.4843912,-72.3853989,,0000.0000,0000.0000
,,City (Small),,,,43.4796912,-72.3867989,,0000.0000,0000.0000
,,City (Small),,,,43.4356912,-72.3977989,,0000.0000,0000.0000
,,City (Small),,,,43.4365912,-72.4011989,,0000.0000,0000.0000
,,City (Small),,,,43.5443912,-72.5533988,,0000.0000,0000.0000
,,City (Small),,,,43.6161911,-72.5435988,,0000.0000,0000.0000
,,City (Small),,,,43.6367911,-72.5243988,,0000.0000,0000.0000
,,City (Small),,,,43.6231911,-72.5188988,,0000.0000,0000.0000
,,City (Small),,,,43.6231911,-72.5188988,,0000.0000,0000.0000
,,City (Small),,,,43.6219911,-72.5196988,,0000.0000,0000.0000
,,City (Small),,,,43.6254911,-72.5186988,,0000.0000,0000.0000
,,City (Small),,,,43.6256911,-72.5185988,,0000.0000,0000.0000
,,City (Small),,,,43.6265911,-72.5140989,,0000.0000,0000.0000
,,City (Small),,,,43.6257911,-72.5186988,,0000.0000,0000.0000
,,City (Small),,,,43.6253911,-72.5182988,,0000.0000,0000.0000
,,City (Small),,,,43.6208911,-72.5187988,,0000.0000,0000.0000
,,City (Small),,,,43.6250911,-72.5178988,,0000.0000,0000.0000
,,City (Small),,,,43.6261911,-72.5117989,,0000.0000,0000.0000
,,City (Small),,,,43.6289911,-72.5059989,,0000.0000,0000.0000
,,City (Small),,,,43.6264911,-72.5111989,,0000.0000,0000.0000
,,City (Small),,,,43.6265911,-72.5106989,,0000.0000,0000.0000
,,City (Small),,,,43.6121911,-72.5493988,,0000.0000,0000.0000
,,City (Small),,,,43.6275911,-72.5071989,,0000.0000,0000.0000
,,City (Small),,,,43.6325911,-72.5038989,,0000.0000,0000.0000
,,City (Small),,,,43.5966911,-72.6006988,,0000.0000,0000.0000
,,City (Small),,,,43.6293911,-72.5052989,,0000.0000,0000.0000
,,City (Small),,,,43.5967911,-72.6022988,,0000.0000,0000.0000
,,City (Small),,,,43.5657912,-72.5328988,,0000.0000,0000.0000
,,City (Small),,,,43.6253911,-72.5171989,,0000.0000,0000.0000
,,City (Small),,,,43.6073911,-72.5710988,,0000.0000,0000.0000
,,City (Small),,,,43.6320911,-72.4697989,,0000.0000,0000.0000
,,City (Small),,,,43.6320911,-72.4697989,,0000.0000,0000.0000
,,City (Small),,,,43.5902911,-72.6097988,,0000.0000,0000.0000
,,City (Small),,,,43.6326911,-72.5041989,,0000.0000,0000.0000
,,City (Small),,,,43.6271911,-72.5099989,,0000.0000,0000.0000
,,City (Small),,,,43.5860911,-72.6177988,,0000.0000,0000.0000
,,City (Small),,,,43.6258911,-72.5160989,,0000.0000,0000.0000
,,City (Small),,,,43.6264911,-72.5084989,,0000.0000,0000.0000
,,City (Small),,,,43.6222911,-72.5268988,,0000.0000,0000.0000
,,City (Small),,,,43.6273911,-72.5065989,,0000.0000,0000.0000
,,City (Small),,,,43.6268911,-72.5171989,,0000.0000,0000.0000
,,City (Small),,,,43.6255911,-72.5172989,,0000.0000,0000.0000
,,City (Small),,,,43.6260911,-72.5155989,,0000.0000,0000.0000
,,City (Small),,,,43.6262911,-72.5151989,,0000.0000,0000.0000
,,City (Small),,,,43.6218911,-72.5278988,,0000.0000,0000.0000
,,City (Small),,,,43.6218911,-72.5278988,,0000.0000,0000.0000
,,City (Small),,,,43.6166911,-72.5419988,,0000.0000,0000.0000
,,City (Small),,,,43.5666911,-72.5253989,,0000.0000,0000.0000
,,City (Small),,,,43.5936911,-72.5486988,,0000.0000,0000.0000
,,City (Small),,,,43.9223911,-72.6592988,,0000.0000,0000.0000
,,City (Small),,,,43.9168911,-72.6652988,,0000.0000,0000.0000
,,City (Small),,,,43.9168911,-72.6652988,,0000.0000,0000.0000
,,City (Small),,,,43.9220911,-72.6650988,,0000.0000,0000.0000
,,City (Small),,,,43.9230911,-72.6573988,,0000.0000,0000.0000
,,City (Small),,,,43.9221911,-72.6585988,,0000.0000,0000.0000
,,City (Small),,,,43.9221911,-72.6585988,,0000.0000,0000.0000
,,City (Small),,,,43.9179911,-72.6601988,,0000.0000,0000.0000
,,City (Small),,,,43.9208911,-72.6468988,,0000.0000,0000.0000
,,City (Small),,,,43.9272911,-72.6653988,,0000.0000,0000.0000
,,City (Small),,,,43.9202911,-72.6632988,,0000.0000,0000.0000
,,City (Small),,,,43.9380911,-72.6743988,,0000.0000,0000.0000
,,City (Small),,,,43.9031911,-72.6568988,,0000.0000,0000.0000
,,City (Small),,,,43.9031911,-72.6568988,,0000.0000,0000.0000
,,City (Small),,,,43.9442911,-72.6250988,,0000.0000,0000.0000
,,City (Small),,,,43.8348911,-72.3627989,,0000.0000,0000.0000
,,City (Small),,,,43.8341911,-72.3603989,,0000.0000,0000.0000
,,City (Small),,,,43.9031911,-72.3620989,,0000.0000,0000.0000
,,City (Small),,,,43.8620911,-72.4142989,,0000.0000,0000.0000
,,City (Small),,,,43.8658911,-72.3777989,,0000.0000,0000.0000
,,City (Small),,,,43.8349911,-72.3656989,,0000.0000,0000.0000
,,City (Small),,,,43.8290911,-72.2061989,,0000.0000,0000.0000
,,City (Small),,,,43.8124911,-72.1886989,,0000.0000,0000.0000
,,City (Small),,,,43.8126911,-72.1892989,,0000.0000,0000.0000
,,City (Small),,,,43.8410911,-72.1889989,,0000.0000,0000.0000
,,City (Small),,,,43.8833911,-72.2611989,,0000.0000,0000.0000
,,City (Small),,,,43.8267911,-72.2391989,,0000.0000,0000.0000
,,City (Small),,,,43.8886911,-72.2325989,,0000.0000,0000.0000
,,City (Small),,,,43.8195911,-72.2318989,,0000.0000,0000.0000
,,City (Small),,,,43.8144911,-72.2311989,,0000.0000,0000.0000
,,City (Small),,,,43.9765911,-72.1149990,,0000.0000,0000.0000
,,City (Small),,,,43.8038911,-72.2670989,,0000.0000,0000.0000
,,City (Small),,,,44.1610910,-72.2134989,,0000.0000,0000.0000
,,City (Small),,,,44.0899910,-72.2835989,,0000.0000,0000.0000
,,City (Small),,,,44.1159910,-72.3094989,,0000.0000,0000.0000
,,City (Small),,,,44.0796910,-72.2612989,,0000.0000,0000.0000
,,City (Small),,,,43.9504911,-72.4790988,,0000.0000,0000.0000
,,City (Small),,,,43.8902911,-72.4912988,,0000.0000,0000.0000
,,City (Small),,,,43.9137911,-72.4788988,,0000.0000,0000.0000
,,City (Small),,,,43.9169911,-72.4747988,,0000.0000,0000.0000
,,City (Small),,,,43.9390911,-72.4679988,,0000.0000,0000.0000
,,City (Small),,,,44.0013911,-72.3670989,,0000.0000,0000.0000
,,City (Small),,,,43.9837911,-72.3734989,,0000.0000,0000.0000
,,City (Small),,,,44.0370911,-72.3954989,,0000.0000,0000.0000
,,City (Small),,,,44.1073910,-72.4333988,,0000.0000,0000.0000
,,City (Small),,,,44.0642911,-72.4673988,,0000.0000,0000.0000
,,City (Small),,,,44.1601910,-72.0856990,,0000.0000,0000.0000
,,City (Small),,,,44.1617910,-72.0900990,,0000.0000,0000.0000
,,City (Small),,,,44.1395910,-72.0804990,,0000.0000,0000.0000
,,City (Small),,,,43.9143911,-72.2633989,,0000.0000,0000.0000
,,City (Small),,,,43.8899911,-72.2252989,,0000.0000,0000.0000
,,City (Small),,,,43.9789911,-72.1764989,,0000.0000,0000.0000
,,City (Small),,,,43.8941911,-72.2189989,,0000.0000,0000.0000
,,City (Small),,,,43.8911911,-72.2311989,,0000.0000,0000.0000
,,City (Small),,,,43.9073911,-72.2610989,,0000.0000,0000.0000
,,City (Small),,,,44.0851910,-72.1209990,,0000.0000,0000.0000
,,City (Small),,,,44.0981910,-72.2988989,,0000.0000,0000.0000
,,City (Small),,,,44.1159910,-72.3094989,,0000.0000,0000.0000
,,City (Small),,,,44.1235910,-72.5458988,,0000.0000,0000.0000
,,City (Small),,,,44.1162911,-72.5379988,,0000.0000,0000.0000
,,City (Small),,,,44.1188911,-72.5729988,,0000.0000,0000.0000
,,City (Small),,,,44.0942911,-72.6253988,,0000.0000,0000.0000
,,City (Small),,,,44.1219910,-72.5414988,,0000.0000,0000.0000
,,City (Small),,,,44.4585910,-73.0938986,,0000.0000,0000.0000
,,City (Small),,,,44.1215910,-72.5414988,,0000.0000,0000.0000
,,City (Small),,,,44.1165911,-72.5395988,,0000.0000,0000.0000
,,City (Small),,,,44.1165911,-72.5964988,,0000.0000,0000.0000
,,City (Small),,,,44.1011911,-72.5484988,,0000.0000,0000.0000
,,City (Small),,,,44.1263910,-72.5465988,,0000.0000,0000.0000
,,City (Small),,,,44.7379909,-72.3767988,,0000.0000,0000.0000
,,City (Small),,,,44.6928909,-72.3386988,,0000.0000,0000.0000
,,City (Small),,,,44.7315909,-72.3778988,,0000.0000,0000.0000
,,City (Small),,,,44.7308909,-72.3799988,,0000.0000,0000.0000
,,City (Small),,,,44.7308909,-72.3797988,,0000.0000,0000.0000
,,City (Small),,,,44.7300909,-72.1845989,,0000.0000,0000.0000
,,City (Small),,,,44.7480909,-72.1807989,,0000.0000,0000.0000
,,City (Small),,,,44.7505909,-72.1798989,,0000.0000,0000.0000
,,City (Small),,,,44.7876909,-72.2134989,,0000.0000,0000.0000
,,City (Small),,,,44.7825909,-72.2205989,,0000.0000,0000.0000
,,City (Small),,,,44.8053909,-72.2116989,,0000.0000,0000.0000
,,City (Small),,,,44.7507909,-72.1796989,,0000.0000,0000.0000
,,City (Small),,,,44.7489909,-72.1786989,,0000.0000,0000.0000
,,City (Small),,,,44.7654909,-72.1689989,,0000.0000,0000.0000
,,City (Small),,,,44.7865909,-72.1877989,,0000.0000,0000.0000
,,City (Small),,,,44.7463909,-72.1753989,,0000.0000,0000.0000
,,City (Small),,,,44.7499909,-72.1803989,,0000.0000,0000.0000
,,City (Small),,,,44.7499909,-72.1804989,,0000.0000,0000.0000
,,City (Small),,,,44.7489909,-72.1800989,,0000.0000,0000.0000
,,City (Small),,,,44.8984909,-72.0594989,,0000.0000,0000.0000
,,City (Small),,,,44.8979909,-72.0580989,,0000.0000,0000.0000
,,City (Small),,,,44.8520909,-72.0537989,,0000.0000,0000.0000
,,City (Small),,,,44.8430909,-72.0197989,,0000.0000,0000.0000
,,City (Small),,,,44.8377909,-71.9898989,,0000.0000,0000.0000
,,City (Small),,,,44.8884909,-72.2244989,,0000.0000,0000.0000
,,City (Small),,,,44.8626909,-72.2648988,,0000.0000,0000.0000
,,City (Small),,,,44.8597909,-72.2679988,,0000.0000,0000.0000
,,City (Small),,,,44.6239910,-72.3609988,,0000.0000,0000.0000
,,City (Small),,,,44.6348910,-72.3715988,,0000.0000,0000.0000
,,City (Small),,,,44.6504909,-72.3812988,,0000.0000,0000.0000
,,City (Small),,,,44.6345910,-72.3719988,,0000.0000,0000.0000
,,City (Small),,,,44.6541909,-72.3819988,,0000.0000,0000.0000
,,City (Small),,,,44.6382910,-72.4189988,,0000.0000,0000.0000
,,City (Small),,,,44.6407909,-72.3415988,,0000.0000,0000.0000
,,City (Small),,,,44.6357910,-72.3726988,,0000.0000,0000.0000
,,City (Small),,,,44.6311910,-72.3735988,,0000.0000,0000.0000
,,City (Small),,,,44.6664909,-72.3748988,,0000.0000,0000.0000
,,City (Small),,,,44.6304910,-72.3669988,,0000.0000,0000.0000
,,City (Small),,,,44.6847909,-72.4031988,,0000.0000,0000.0000
,,City (Small),,,,44.6526909,-72.3831988,,0000.0000,0000.0000
,,City (Small),,,,44.6803909,-72.3635988,,0000.0000,0000.0000
,,City (Small),,,,44.6803909,-72.3634988,,0000.0000,0000.0000
,,City (Small),,,,44.5459910,-72.2639989,,0000.0000,0000.0000
,,City (Small),,,,44.9322909,-72.1162989,,0000.0000,0000.0000
,,City (Small),,,,44.9221909,-72.0823989,,0000.0000,0000.0000
,,City (Small),,,,44.9379909,-72.0952989,,0000.0000,0000.0000
,,City (Small),,,,44.9703909,-72.1206989,,0000.0000,0000.0000
,,City (Small),,,,44.9884909,-72.0748989,,0000.0000,0000.0000
