,FIPS,Pop2010,LAPOP05_10,TractWhite,TractBlack,TractAsian,TractAIAN,TractHispanic,lawhite,lablack,laaian,laasian,lahisp,total_est,aian_est,asian_est,black_est,hisp_est,nhwhite_est,Fast Food,Restaurant,Grocery,Convenience,Market,metric,white_metric,black_metric,aian_metric,asian_metric,hisp_metric,AREA,la
0,01001,54571,29442.0,42855.0,9643.0,474.0,232.0,1310.0,0.5117722552794306,0.6522866327906254,0.5822784810126582,0.49568965517241376,0.6564885496183206,10.58746,32.142857,0.0,27.521097,18.572586,6.5597243,44,31,3,31,1.0,0.31401943022222456,0.9043167113309761,0.0,0.8809592580470593,0.5061061048908762,0.2367402406921105,1539.59,0.5395173260522989
1,01003,182265,71643.0,156153.0,17105.0,1348.0,1216.0,7992.0,0.38514149584061785,0.47518269511838646,0.46735905044510384,0.3347039473684211,0.3853853853853854,12.210226,32.026146,11.923411,32.842369,42.275467,8.2408018,156,236,29,118,4.0,0.7636404129134275,1.962545390047736,0.9014794867118879,2.442192265745062,2.2513549215184447,0.5053117864085247,4117.51,0.39307052917455354
2,01005,27457,8563.0,13180.0,12875.0,107.0,114.0,1387.0,0.2922610015174507,0.317747572815534,0.18691588785046728,0.14035087719298245,0.4794520547945205,25.003021,50.980396,0.0,39.449139,19.318182,11.581684,23,14,4,19,4.0,1.135984102160668,2.170605906357758,0.0,1.0742136200053167,0.3949919932219375,0.8089539558991619,2291.83,0.3118694686236661
3,01007,22915,365.0,17381.0,5047.0,22.0,64.0,406.0,0.020021862953800127,0.0019813750743015654,0.09090909090909091,0.015625,0.007389162561576354,12.639007,100.0,0.0,25.290092,0.0,10.276343,7,7,5,15,1.0,0.043927460814518676,0.43687241880427946,0.0,0.5016581437327674,0.0,0.01656852912186717,1612.48,0.015928431158629717
4,01009,57322,5432.0,53068.0,761.0,117.0,307.0,4626.0,0.08958317630210297,0.1773981603153745,0.17094017094017094,0.026058631921824105,0.15131863380890617,13.371317,49.411766,3.2520323,32.122906,27.649551,11.828321,23,12,5,27,1.0,0.11052519275173409,0.38610506829631364,0.05032139033060397,0.47896924764794,0.06284755175261711,0.1561220276659219,1669.97,0.09476291825128223
5,01011,10914,8839.0,2507.0,7666.0,20.0,23.0,777.0,0.8141204627044276,0.8083746412731543,0.39999999999999997,0.6521739130434783,0.8146718146718147,25.302902,0.0,0.0,32.328457,61.403507,1.1187607,3,1,3,6,1.0,5.632832319459359,0.0,0.0,3.554530731170973,11.007632060138157,0.2505285348137739,1613.07,0.8098772219168041
6,01013,20947,4508.0,11399.0,9095.0,177.0,60.0,191.0,0.17185718045442583,0.2715777899945025,0.10734463276836159,0.13333333333333333,0.33507853403141363,24.953762,46.42857,0.0,37.338619,0.0,15.189309,18,9,3,22,2.0,0.7691260576353751,1.1427531101443082,0.0,0.5740345173007259,0.0,0.7289270147520156,2011.98,0.21520981524800686
7,01015,118572,69358.0,88840.0,24382.0,845.0,540.0,3893.0,0.5407586672669968,0.7377573619883521,0.6899408284023668,0.5666666666666667,0.6591317749807346,19.459417,12.08577,7.0484581,38.339676,31.73601,13.900582,95,75,27,84,2.0,2.5919454646988256,1.4881936014284756,1.184102486728896,6.023402752278743,4.095072639408966,2.0863484865481037,1569.2,0.5849441689437641
8,01017,34215,10852.0,20112.0,13257.0,168.0,69.0,536.0,0.34536595067621323,0.27404390133514367,0.1488095238095238,0.20289855072463767,0.3861940298507463,20.338194,0.0,0.0,34.969509,28.435114,10.591993,29,18,7,22,1.0,1.3197361775906706,0.0,0.0,1.0646374945199475,1.1803625293593156,0.8368829819011039,1545.01,0.31717083150664915
9,01019,25989,3977.0,24081.0,1208.0,54.0,135.0,320.0,0.1517378846393422,0.1978476821192053,0.2037037037037037,0.0962962962962963,0.10625,17.64636,24.242424,37.68116,27.542374,9.0342674,17.101585,15,12,5,18,1.0,0.5195191874458542,0.707702130957332,1.4342856911699013,1.0793958198839109,0.16737205940404987,0.3495793232232868,1434.08,0.1530262803493786
