Label,Type,Symbol,Description,Name on GPS,Comment,Easting,Northing,Zone,Elevation,Distance to Active Point,Bearing
,,City (Small),,,,709564.586,4814535.286,18T,,0000.0000,0000.0000
,,City (Small),,,,710654.544,4818782.727,18T,,0000.0000,0000.0000
,,City (Small),,,,710654.544,4818782.727,18T,,0000.0000,0000.0000
,,City (Small),,,,711241.907,4817089.076,18T,,0000.0000,0000.0000
,,City (Small),,,,710790.579,4819865.369,18T,,0000.0000,0000.0000
,,City (Small),,,,708467.568,4818314.378,18T,,0000.0000,0000.0000
,,City (Small),,,,711254.178,4816956.053,18T,,0000.0000,0000.0000
,,City (Small),,,,711009.097,4817026.186,18T,,0000.0000,0000.0000
,,City (Small),,,,711009.097,4817026.186,18T,,0000.0000,0000.0000
,,City (Small),,,,710705.757,4817405.787,18T,,0000.0000,0000.0000
,,City (Small),,,,710888.142,4819334.796,18T,,0000.0000,0000.0000
,,City (Small),,,,710644.972,4817537.291,18T,,0000.0000,0000.0000
,,City (Small),,,,711176.706,4819165.973,18T,,0000.0000,0000.0000
,,City (Small),,,,711176.706,4819165.973,18T,,0000.0000,0000.0000
,,City (Small),,,,711683.951,4817191.904,18T,,0000.0000,0000.0000
,,City (Small),,,,711500.257,4818142.222,18T,,0000.0000,0000.0000
,,City (Small),,,,710008.488,4818217.781,18T,,0000.0000,0000.0000
,,City (Small),,,,710008.488,4818217.781,18T,,0000.0000,0000.0000
,,City (Small),,,,709955.271,4821217.776,18T,,0000.0000,0000.0000
,,City (Small),,,,710504.400,4819700.762,18T,,0000.0000,0000.0000
,,City (Small),,,,710025.141,4821053.199,18T,,0000.0000,0000.0000
,,City (Small),,,,711463.255,4817774.186,18T,,0000.0000,0000.0000
,,City (Small),,,,711353.524,4817659.565,18T,,0000.0000,0000.0000
,,City (Small),,,,711173.093,4817476.023,18T,,0000.0000,0000.0000
,,City (Small),,,,711395.356,4817616.409,18T,,0000.0000,0000.0000
,,City (Small),,,,710628.163,4812378.376,18T,,0000.0000,0000.0000
,,City (Small),,,,710628.163,4812378.376,18T,,0000.0000,0000.0000
,,City (Small),,,,712108.716,4828856.469,18T,,0000.0000,0000.0000
,,City (Small),,,,708061.074,4819680.305,18T,,0000.0000,0000.0000
,,City (Small),,,,711437.887,4817551.042,18T,,0000.0000,0000.0000
,,City (Small),,,,711336.238,4817436.675,18T,,0000.0000,0000.0000
,,City (Small),,,,711367.193,4817482.117,18T,,0000.0000,0000.0000
,,City (Small),,,,711367.193,4817482.117,18T,,0000.0000,0000.0000
,,City (Small),,,,709967.518,4821084.751,18T,,0000.0000,0000.0000
,,City (Small),,,,711434.108,4817928.913,18T,,0000.0000,0000.0000
,,City (Small),,,,711337.285,4817403.356,18T,,0000.0000,0000.0000
,,City (Small),,,,710600.411,4812488.681,18T,,0000.0000,0000.0000
,,City (Small),,,,710322.114,4812580.044,18T,,0000.0000,0000.0000
,,City (Small),,,,697652.002,4824179.530,18T,,0000.0000,0000.0000
,,City (Small),,,,698207.905,4832177.333,18T,,0000.0000,0000.0000
,,City (Small),,,,699688.958,4834511.312,18T,,0000.0000,0000.0000
,,City (Small),,,,700177.778,4833014.070,18T,,0000.0000,0000.0000
,,City (Small),,,,700177.778,4833014.070,18T,,0000.0000,0000.0000
,,City (Small),,,,700117.214,4832878.862,18T,,0000.0000,0000.0000
,,City (Small),,,,700186.277,4833270.003,18T,,0000.0000,0000.0000
,,City (Small),,,,700193.681,4833292.458,18T,,0000.0000,0000.0000
,,City (Small),,,,700553.747,4833403.282,18T,,0000.0000,0000.0000
,,City (Small),,,,700185.281,4833303.323,18T,,0000.0000,0000.0000
,,City (Small),,,,700218.881,4833259.862,18T,,0000.0000,0000.0000
,,City (Small),,,,700193.483,4832758.860,18T,,0000.0000,0000.0000
,,City (Small),,,,700252.150,4833227.507,18T,,0000.0000,0000.0000
,,City (Small),,,,700740.641,4833364.416,18T,,0000.0000,0000.0000
,,City (Small),,,,701199.236,4833689.446,18T,,0000.0000,0000.0000
,,City (Small),,,,700788.049,4833399.188,18T,,0000.0000,0000.0000
,,City (Small),,,,700828.056,4833411.504,18T,,0000.0000,0000.0000
,,City (Small),,,,697753.002,4831719.238,18T,,0000.0000,0000.0000
,,City (Small),,,,701107.096,4833531.046,18T,,0000.0000,0000.0000
,,City (Small),,,,701356.628,4834094.377,18T,,0000.0000,0000.0000
,,City (Small),,,,693662.939,4829876.804,18T,,0000.0000,0000.0000
,,City (Small),,,,701254.374,4833735.570,18T,,0000.0000,0000.0000
,,City (Small),,,,693533.468,4829884.180,18T,,0000.0000,0000.0000
,,City (Small),,,,699237.613,4826605.263,18T,,0000.0000,0000.0000
,,City (Small),,,,700307.630,4833262.516,18T,,0000.0000,0000.0000
,,City (Small),,,,696017.451,4831134.660,18T,,0000.0000,0000.0000
,,City (Small),,,,704109.202,4834122.157,18T,,0000.0000,0000.0000
,,City (Small),,,,704109.202,4834122.157,18T,,0000.0000,0000.0000
,,City (Small),,,,692948.857,4829144.806,18T,,0000.0000,0000.0000
,,City (Small),,,,701332.093,4834104.755,18T,,0000.0000,0000.0000
,,City (Small),,,,700882.532,4833479.838,18T,,0000.0000,0000.0000
,,City (Small),,,,692316.419,4828659.779,18T,,0000.0000,0000.0000
,,City (Small),,,,700394.716,4833320.704,18T,,0000.0000,0000.0000
,,City (Small),,,,701005.883,4833405.724,18T,,0000.0000,0000.0000
,,City (Small),,,,699535.288,4832894.846,18T,,0000.0000,0000.0000
,,City (Small),,,,701156.170,4833510.287,18T,,0000.0000,0000.0000
,,City (Small),,,,700302.646,4833429.114,18T,,0000.0000,0000.0000
,,City (Small),,,,700298.897,4833284.488,18T,,0000.0000,0000.0000
,,City (Small),,,,700434.391,4833344.125,18T,,0000.0000,0000.0000
,,City (Small),,,,700465.998,4833367.304,18T,,0000.0000,0000.0000
,,City (Small),,,,699455.927,4832848.016,18T,,0000.0000,0000.0000
,,City (Small),,,,699455.927,4832848.016,18T,,0000.0000,0000.0000
,,City (Small),,,,698335.369,4832236.688,18T,,0000.0000,0000.0000
,,City (Small),,,,699840.338,4826723.235,18T,,0000.0000,0000.0000
,,City (Small),,,,697870.153,4829666.201,18T,,0000.0000,0000.0000
,,City (Small),,,,687910.134,4865916.402,18T,,0000.0000,0000.0000
,,City (Small),,,,687445.724,4865291.877,18T,,0000.0000,0000.0000
,,City (Small),,,,687445.724,4865291.877,18T,,0000.0000,0000.0000
,,City (Small),,,,687445.446,4865869.894,18T,,0000.0000,0000.0000
,,City (Small),,,,688060.462,4865998.477,18T,,0000.0000,0000.0000
,,City (Small),,,,687966.961,4865895.781,18T,,0000.0000,0000.0000
,,City (Small),,,,687966.961,4865895.781,18T,,0000.0000,0000.0000
,,City (Small),,,,687851.733,4865425.646,18T,,0000.0000,0000.0000
,,City (Small),,,,688910.370,4865778.098,18T,,0000.0000,0000.0000
,,City (Small),,,,687405.027,4866446.776,18T,,0000.0000,0000.0000
,,City (Small),,,,687595.612,4865674.057,18T,,0000.0000,0000.0000
,,City (Small),,,,686648.757,4867625.938,18T,,0000.0000,0000.0000
,,City (Small),,,,688163.328,4863789.329,18T,,0000.0000,0000.0000
,,City (Small),,,,688163.328,4863789.329,18T,,0000.0000,0000.0000
,,City (Small),,,,690585.756,4868427.259,18T,,0000.0000,0000.0000
,,City (Small),,,,712023.869,4856915.507,18T,,0000.0000,0000.0000
,,City (Small),,,,712219.310,4856843.917,18T,,0000.0000,0000.0000
,,City (Small),,,,711837.932,4864503.385,18T,,0000.0000,0000.0000
,,City (Small),,,,707788.776,4859805.802,18T,,0000.0000,0000.0000
,,City (Small),,,,710708.630,4860320.305,18T,,0000.0000,0000.0000
,,City (Small),,,,711790.356,4856919.180,18T,,0000.0000,0000.0000
,,City (Small),,,,724636.260,4856684.893,18T,,0000.0000,0000.0000
,,City (Small),,,,726106.089,4854888.835,18T,,0000.0000,0000.0000
,,City (Small),,,,726057.076,4854909.408,18T,,0000.0000,0000.0000
,,City (Small),,,,725973.951,4858064.618,18T,,0000.0000,0000.0000
,,City (Small),,,,720013.933,4862568.025,18T,,0000.0000,0000.0000
,,City (Small),,,,721991.332,4856340.291,18T,,0000.0000,0000.0000
,,City (Small),,,,722291.778,4863233.288,18T,,0000.0000,0000.0000
,,City (Small),,,,722605.105,4855560.216,18T,,0000.0000,0000.0000
,,City (Small),,,,722680.367,4854995.646,18T,,0000.0000,0000.0000
,,City (Small),,,,731396.948,4873319.804,18T,,0000.0000,0000.0000
,,City (Small),,,,719831.927,4853722.261,18T,,0000.0000,0000.0000
,,City (Small),,,,722802.597,4893541.136,18T,,0000.0000,0000.0000
,,City (Small),,,,717458.302,4885456.091,18T,,0000.0000,0000.0000
,,City (Small),,,,715290.410,4888275.887,18T,,0000.0000,0000.0000
,,City (Small),,,,719281.621,4884371.209,18T,,0000.0000,0000.0000
